filename,words
image_76.png,4294AGI/2674TAG
image_77.png,COTTON GREY CLOTH
image_78.png,"20868,00"
image_79.png,"20972,00"
image_80.png,"14000,00"
image_81.png,"34972,00"
image_82.png,"16,5"
image_83.png,TURKMENISTAN
image_84.png,TURKFY
image_85.png,ATAGELDIYEW DOWLETGELDI
image_86.png,4995AGG/4967TAG
image_87.png,COTTON GREY CLOTH
image_88.png,"20855,00"
image_89.png,"20921,00"
image_90.png,"14000,00"
image_91.png,"34921,00"
image_92.png,"16,5"
image_93.png,TURKMENISTAN
image_94.png,TURKEY
image_95.png,BABAGULYYEW BAYMYRAT
image_96.png,BG7570AG/AG4347TR
image_97.png,COTTON GREY CLOTH
image_98.png,"20856,00"
image_99.png,"20918,00"
image_100.png,"14000,00"
image_101.png,"34918,00"
image_102.png,"16,5"
image_103.png,TURKMENISTAN
image_104.png,TURKEY
image_105.png,OWEZNEPESOW DANATAR
image_106.png,9220AGG/4525TAG
image_107.png,COTTON GREY CLOTH
image_108.png,"18290,00"
image_109.png,"19344,00"
image_110.png,"14000,00"
image_111.png,"33344,00"
image_112.png,"16,"
image_113.png,TURKMENISTAN
image_114.png,TURKEY
image_115.png,SAHETMURADOW HANGELDI
image_116.png,6809AGF/5523TAG
image_117.png,COTTON YARN
image_118.png,"22006,00"
image_119.png,"22479,00"
image_120.png,"14000,00"
image_121.png,"36479,00"
image_122.png,"16,"
image_123.png,10
image_124.png,TURKMENISTAN
image_125.png,TURKEY
image_126.png,DALLAYEW BAYGELDI
image_127.png,BY135AH/АН591ЗТR
image_128.png,POLYPROPILENE
image_129.png,"22000,00"
image_130.png,"22506,00"
image_131.png,"14000,00"
image_132.png,"36506,00"
image_133.png,"16"
image_134.png,TURKMENISTAN
image_135.png,TURKEY
image_136.png,DURDYYEW AMANDURDY
image_137.png,3753AGI/189ATAG
image_138.png,МАСЛЕННЫЙ ФИЛЬТР
image_139.png,"2200,00"
image_140.png,"2202,00"
image_141.png,"14000,00"
image_142.png,"16202,00"
image_143.png,16
image_144.png,TURKMENISTAN
image_145.png,TURKEY
image_146.png,AMANGELDIYEV NURGELDI
image_147.png,BD7044BN/BN3723TR
image_148.png,POTASSIUM CHLORIDE
image_149.png,"21374,00"
image_150.png,"21400,00"
image_151.png,"14000,00"
image_152.png,"35400,00"
image_153.png,16
image_154.png,TURKMENISTAN
image_155.png,TURKEY
image_156.png,CAGIL BESHIR
image_157.png,01623FLA/016644ВA
image_158.png,CIGARETTES WITH FILTERS
image_159.png,"16202,00"
image_160.png,"16202,00"
image_161.png,"14000,00"
image_162.png,"30202,00"
image_163.png,"16,5"
image_164.png,11
image_165.png,TURKMENISTAN
image_166.png,TURKEY
image_167.png,JANMYRADOV ISA
image_168.png,АК1885АН/АН4687TR
image_169.png,POLYPROPILENE
image_170.png,"24000,00"
image_171.png,"24552,00"
image_172.png,"14000,00"
image_173.png,"38552,00"
image_174.png,"16,5"
image_175.png,15
image_176.png,TURKMENISTAN
image_177.png,TURKEY
image_178.png,JANMYRADOV HASAN
image_179.png,AK5785AH/HI4912TR
image_180.png,POLYPROPILENE
image_181.png,"24000,00"
image_182.png,"24552,00"
image_183.png,"14000,00"
image_184.png,"38552,00"
image_185.png,"16,5"
image_186.png,16
image_187.png,TURKMENISTAN
image_188.png,TURKEY
image_189.png,AKGULYYEV AKMUHAMMET
image_190.png,1246AGI/682OTAG
image_191.png,PACKAGING FILM
image_192.png,"24025,00"
image_193.png,"24921,00"
image_194.png,"14000,00"
image_195.png,"38921,00"
image_196.png,"16,5"
image_197.png,17
image_198.png,TURKMENISTAN
image_199.png,TURKEY
image_200.png,HABYBYLLAYEV DAVUT
image_201.png,DI9384AH/АH6623TR
image_202.png,SYGYR DERISI
image_203.png,"24000,00"
image_204.png,"24000,00"
image_205.png,"14000,00"
image_206.png,"38000,06"
image_207.png,16
image_208.png,18
image_209.png,TURKMENISTAN
image_210.png,TURKEY
image_211.png,HABYBYLLAYEV HABIBULLA
image_212.png,1714АНЕ/1920TАH
image_213.png,COTTON YARN
image_214.png,"22000,00"
image_215.png,"22499,00"
image_216.png,"14006,00"
image_217.png,"36499,00"
image_218.png,16
image_219.png,19
image_220.png,TURKMENISTAN
image_221.png,TURKEY
image_222.png,OVEZOV DAVUT
image_223.png,AK7520АH/AH4327TR
image_224.png,TEXTIIE WASTE
image_225.png,"14922,06"
image_226.png,"14984,00"
image_227.png,"14000,00"
image_228.png,"28984,00"
image_229.png,16
image_230.png,20
image_231.png,TURKMENISTAN
image_232.png,TURKEY
image_233.png,OVEZOV GYLYCHNYYAZ
image_234.png,ЕА4155АН/AH4354TR
image_235.png,SKINS OF CATTLE
image_236.png,"24000,00"
image_237.png,"24000,00"
image_238.png,"14000,00"
image_239.png,"38000,00"
image_240.png,16
image_241.png,21
image_242.png,TURKMENISTAN
image_243.png,TURKEY
image_244.png,OVEZOV GYLYCHNYYAZ
image_245.png,BS5738AH/AH6028TR
image_246.png,SKINS OF CATTLE
image_247.png,"21000,00"
image_248.png,"24000,00"
image_249.png,"14000,00"
image_250.png,"38000,00"
image_251.png,"16,5"
image_252.png,22
image_253.png,TURKMENISTAN
image_254.png,TURKEY
image_255.png,ORAZMUHAMMEDOV OMAR
image_256.png,EA1З40АН/АН6013TR
image_257.png,SYGYR DERISI
image_258.png,"24000,00"
image_259.png,"24000,00"
image_260.png,"14000,00"
image_261.png,"38000,00"
image_262.png,"16,5"
image_263.png,25
image_264.png,TURKMENISTAN
image_265.png,TURKEY
image_266.png,AT-ABRAY
image_267.png,76AAL587
image_268.png,PAMUKLU CUBUK
image_269.png,"7963,00"
image_270.png,"10272,00"
image_271.png,"7000,00"
image_272.png,"17272,00"
image_273.png,"13,5"
image_274.png,24
image_275.png,TURKMENISTAN
image_276.png,TURKEY
image_277.png,AT-ABRAY
image_278.png,76AAL586
image_279.png,ПОРОЖНИЙ
image_280.png,"0,00"
image_281.png,"0,00"
image_282.png,"7000,00"
image_283.png,"7000,00"
image_284.png,"13,5"
image_285.png,25
image_286.png,TURKMENISTAN
image_287.png,TURKEY
image_288.png,AT-ABRAY
image_289.png,76DA856
image_290.png,ПОРОЖНИЙ
image_291.png,"0,00"
image_292.png,"0,0O"
image_293.png,"7000,00"
image_294.png,"7000,00"
image_295.png,"13,5"
image_296.png,26
image_297.png,TURKMENISTAN
image_298.png,TURKEY
image_299.png,AT-ABRAY
image_300.png,76AAJ992
image_301.png,ПОРОЖНИЙ
image_302.png,00
image_303.png,00
image_304.png,"7000,00"
image_305.png,"7000,00"
image_306.png,"13,5"
image_307.png,27
image_308.png,TURKMENISTAN
image_309.png,TURKEY
image_310.png,AT-ABRAY
image_311.png,LDOO2T
image_312.png,ПОРОЖНИЙ
image_313.png,00
image_314.png,"0,00"
image_315.png,"7000,00"
image_316.png,"7000,00"
image_317.png,"13,5"
image_318.png,28
image_319.png,TURKMENISTAN
image_320.png,TURKEY
image_321.png,AT-ABRAY
image_322.png,34ZU1807
image_323.png,ПОРОЖНИЙ
image_324.png,"0,00"
image_325.png,"0,00"
image_326.png,"7000,00"
image_327.png,"7000,00"
image_328.png,"15,5"
image_329.png,29
image_330.png,TURKMENISTAN
image_331.png,TURKEY
image_332.png,AT-ABRAY
image_333.png,31ZD323
image_334.png,ПОРОЖНИЙ
image_335.png,"0,00"
image_336.png,"0,00"
image_337.png,"7000,00"
image_338.png,"7000,00"
image_339.png,"13,5"
image_340.png,30
image_341.png,TURKMENISTAN
image_342.png,TURKEY
image_343.png,AT-ABRAY
image_344.png,З1AKZ225
image_345.png,ПОРОЖНИЙ
image_346.png,"0,00"
image_347.png,"0,00"
image_348.png,"7000,00"
image_349.png,"7000,00"
image_350.png,"13,5"
image_351.png,TURKMENISTAN
image_352.png,AZERBAYJAN
image_353.png,HAZAR LOGISTIK
image_354.png,2553TMR
image_355.png,БУМАГA
image_356.png,"21500,00"
image_357.png,"21500,00"
image_358.png,"7000,00"
image_359.png,"28500,00"
image_360.png,"15,5"
image_361.png,32
image_362.png,TURKMENISTAN
image_363.png,GEORGIA
image_364.png,HAZAR LOGISTIK
image_365.png,2471TMR
image_366.png,CARBON BLACK
image_367.png,"21000,00"
image_368.png,"22071,00"
image_369.png,"7000,00"
image_370.png,"29071,00"
image_371.png,"13,5"
image_372.png,33
image_373.png,TURKMENISTAN
image_374.png,GEORGIA
image_375.png,HAZAR LOGISTIK
image_376.png,2604TMR
image_377.png,CARBON BLACK
image_378.png,"21000,00"
image_379.png,"22071,00"
image_380.png,"7000,00"
image_381.png,"29071,00"
image_382.png,"13,5"
image_383.png,34
image_384.png,TURKMENISTAN
image_385.png,AZERBAYJAN
image_386.png,HAZAR LOGISTIK
image_387.png,2713TMR
image_388.png,COTTON WASTE
image_389.png,"19560,00"
image_390.png,"19710,00"
image_391.png,"7000,00"
image_392.png,"26710,00"
image_393.png,"13,5"
image_394.png,35
image_395.png,TURKMENISTAN
image_396.png,TURKEY
image_397.png,HALKARA DOSTLUK
image_398.png,76AAG972
image_399.png,ПОРОЖНИЙ
image_400.png,"0,00"
image_401.png,"0,00"
image_402.png,"7000,00"
image_403.png,"7000,00"
image_404.png,"13,5"
image_405.png,36
image_406.png,TURKMENISTAN
image_407.png,TURKEY
image_408.png,HALKARA DOSTIUK
image_409.png,76AAR617
image_410.png,COTTON YARN
image_411.png,",00"
image_412.png,"17957,00"
image_413.png,"7000,00"
image_414.png,"24957,00"
image_415.png,"13,5"
image_416.png,37
image_417.png,TURKMENISTAN
image_418.png,TURKEY
image_419.png,HALKARA DOSTLUK
image_420.png,76AAR995
image_421.png,ПОРОЖНИЙ
image_422.png,",00"
image_423.png,"0,00"
image_424.png,"7000,00"
image_425.png,"7000,00"
image_426.png,"13,5"
image_427.png,38
image_428.png,TURKMENISTAN
image_429.png,TURKEY
image_430.png,HALKARA DOSTLUK
image_431.png,76AAG399
image_432.png,COTTON YARN
image_433.png,"0,00"
image_434.png,"20807,00"
image_435.png,"7000,00"
image_436.png,"27807,00"
image_437.png,"13,5"
image_438.png,Порт
image_439.png,Порт
image_440.png,Порт
